PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20230518;05;2023;7425082;1;3;1;70;05;1;3906.3285473;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425083;1;2;1;70;05;1;1058.1189229;05;;2;1;52;1;;;48;4000000;1;48;0;6;1;7;2;1;1;2;;2411;2411;78;7820;
20230518;05;2023;7425085;1;1;1;70;05;1;1393.3174674;05;1;;;;;;;;;1;84;0;3;1;10;2;2;;2;;.;4412;53;5320;
20230518;05;2023;7425087;1;2;1;70;05;1;1275.3237874;05;;1;1;4;1;;;48;1160000;1;1;0;8;1;10;2;2;;1;1160000;9621;9621;47;4752;
20230518;05;2023;7425089;1;1;1;70;05;1;1872.6014117;05;1;;;;;;;;;1;180;0;5;2;10;2;3;;2;;.;2411;84;8412;
20230518;05;2023;7425089;1;2;1;70;05;1;1872.6014117;05;1;;;;;;;;;1;5;0;5;2;10;2;3;;2;;.;4411;84;8412;
20230518;05;2023;7425090;1;2;1;70;05;1;1470.7499368;05;1;;;;;;;;;1;216;0;3;1;4;2;2;;2;;.;9621;05;0510;
20230518;05;2023;7425090;1;3;1;70;05;1;1470.7499368;05;1;;;;;;;;;1;24;0;2;1;10;2;2;;2;;.;7511;47;4711;
20230518;05;2023;7425092;1;1;1;70;05;1;1019.36916;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425095;1;1;1;70;05;1;1495.7161546;05;1;;;;;;;;;1;240;0;3;1;6;2;2;;2;;.;2320;94;9499;
20230518;05;2023;7425095;1;2;1;70;05;1;1495.7161546;05;1;;;;;;;;;1;84;0;5;1;10;2;3;;2;;.;3118;65;6523;
20230518;05;2023;7425095;1;3;1;70;05;1;1495.7161546;05;1;;;;;;;;;1;4;2;8;1;2;2;2;;2;;.;5246;47;4781;
20230518;05;2023;7425096;1;1;1;70;05;1;1787.6860286;05;1;;;;;;;;;1;120;0;5;1;10;2;3;;2;;.;4211;64;6412;
20230518;05;2023;7425096;1;2;1;70;05;1;1787.6860286;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425096;1;3;1;70;05;1;1787.6860286;05;1;;;;;1;;40;1500000;1;36;0;8;1;9;2;2;;2;;.;4110;46;4663;
20230518;05;2023;7425097;1;4;1;70;05;1;1029.8906707;05;1;;;;;;;;;1;80;0;7;1;4;2;2;;2;;.;9621;53;5320;
20230518;05;2023;7425098;1;1;1;70;05;1;785.94311587;05;1;;;;;;;;;1;140;0;3;1;5;2;2;;2;;.;5131;56;5611;
20230518;05;2023;7425098;1;2;1;70;05;1;785.94311587;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
