PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20230417;04;2023;7396141;1;1;01;;2;1339.4937576;23;1;1;2;1;1;2;2;1;2;1;3;5;1;2;2;4;1;1;5;1;;;30000000;100000;;1;;;;;;;;;;;2
20230417;04;2023;7396141;2;2;01;;2;1339.4937576;23;1;1;2;1;1;2;2;1;2;1;3;5;2;2;2;4;1;1;4;5;;;;100000;;1;;;;;;;;;;;3
20230417;04;2023;7396141;3;3;01;;2;1339.4937576;23;1;1;2;1;1;2;2;1;2;1;3;5;1;2;2;1;8;1;5;4;;;;50000;;1;;;;;;;;;;;3
20230417;04;2023;7396142;1;1;01;;2;1804.3777857;23;1;5;1;1;1;2;2;1;2;1;1;2;1;2;1;1;1;1;4;1;;;15000000;80000;;1;1;;;;;;;;;;3
20230417;04;2023;7396143;1;1;01;;2;1888.5905648;23;1;1;2;1;1;2;2;1;2;1;1;3;2;2;1;1;1;1;4;1;;;15000000;100000;;1;;;;;;;;;;;3
20230417;04;2023;7396145;1;1;01;;2;844.26268476;23;1;1;1;1;1;2;2;1;2;1;1;3;2;2;1;1;5;5;5;1;;;98;300000;;;;;;;;;;1;;;3
20230417;04;2023;7396146;1;1;01;;2;2042.1880895;23;1;1;1;1;1;2;2;1;2;1;1;3;1;6;;1;1;1;4;4;;;;200000;;;1;;;;;;;;;;2
20230417;04;2023;7396147;1;1;01;;2;1419.0763055;23;1;1;2;1;1;2;2;1;2;1;1;4;2;2;1;1;1;1;5;1;;;45000000;150000;;;;;;;;;;1;;;2
20230417;04;2023;7396148;1;1;01;;2;1305.8681648;23;1;5;1;1;1;2;2;1;2;1;1;3;2;2;1;1;1;1;5;4;;;;200000;;;;;;;;;;1;;;6
20230417;04;2023;7396149;1;1;01;;2;2111.8175688;23;1;5;1;1;1;2;2;1;2;1;1;3;2;2;1;1;1;4;4;1;;;30000000;120000;;;1;;;;;;;;;;4
20230417;04;2023;7396150;1;1;01;;2;1624.7264461;23;1;1;2;1;0;2;2;1;2;1;1;3;2;2;1;1;1;1;4;1;;;25000000;150000;;;;;;;;;;1;;;4
20230414;04;2023;7396151;1;1;01;05;1;911.14019508;05;2;1;4;1;2;1;1;1;2;1;1;5;1;1;1;1;1;1;4;1;;;98;600000;;;;;;;;;;1;;;2
20230414;04;2023;7396152;1;1;01;05;1;1136.0585494;05;2;1;4;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;4;3;;;;;400000;;1;;;;;;;;;;1
20230414;04;2023;7396153;1;1;01;05;1;938.75657332;05;2;1;4;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;4;3;;;;;470000;;1;;;;;;;;;;1
20230414;04;2023;7396156;1;1;01;05;1;1217.921592;05;2;1;4;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;4;1;;;20000000;200000;;;1;;;;;;;;;;1
20230414;04;2023;7396157;1;1;01;05;1;1081.6820671;05;2;1;4;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;4;1;;;30000000;300000;;;1;;;;;;;;;;1
20230414;04;2023;7396158;1;1;01;05;1;854.09948425;05;2;1;4;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;4;3;;;;;400000;;1;;;;;;;;;;5
20230414;04;2023;7396159;1;1;01;05;1;865.34565367;05;3;1;4;1;3;1;1;1;2;1;1;2;1;1;2;1;1;1;3;4;;;;500000;;;1;;;;;;;;;;1
20230414;04;2023;7396160;1;1;01;05;1;1097.831069;05;2;1;4;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;4;3;;;;;550000;;1;;;;;;;;;;4
20230414;04;2023;7396161;1;1;01;05;1;1179.1957561;05;2;1;4;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;4;4;;;;500000;;;;;;;;;;1;;;3
20230414;04;2023;7396162;1;1;01;05;1;4057.4320541;05;2;1;4;1;4;1;1;1;3;1;1;4;3;1;1;1;1;1;3;2;;1000000;380000000;1300000;;;1;;1;;;;;;;;3
20230414;04;2023;7396163;1;1;01;05;1;2629.5825779;05;2;1;4;1;4;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;1200000;;1;;;;;1;;;;;4
